case_id,family,source_work,source_case_id,source_file,query_changed_from_archived_record,outcome_changed_from_archived_record,transformation
932021,E1,manual_workspace_file_poisoning_expansion,internal_doc_email-01,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932022,E1,manual_workspace_file_poisoning_expansion,internal_doc_email-02,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932023,E1,manual_workspace_file_poisoning_expansion,internal_doc_email-03,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932024,E1,manual_workspace_file_poisoning_expansion,internal_doc_email-04,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932025,E1,manual_workspace_file_poisoning_expansion,internal_doc_email-05,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932026,E1,manual_workspace_file_poisoning_expansion,internal_doc_email-06,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932027,E1,manual_workspace_file_poisoning_expansion,internal_doc_email-07,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932028,E1,manual_workspace_file_poisoning_expansion,internal_doc_email-08,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932029,E1,manual_workspace_file_poisoning_expansion,internal_doc_email-09,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932030,E1,manual_workspace_file_poisoning_expansion,unauthorized_transfer-00,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932031,E1,manual_workspace_file_poisoning_expansion,unauthorized_transfer-01,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932032,E1,manual_workspace_file_poisoning_expansion,unauthorized_transfer-02,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932033,E1,manual_workspace_file_poisoning_expansion,unauthorized_transfer-03,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932034,E1,manual_workspace_file_poisoning_expansion,unauthorized_transfer-04,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932035,E1,manual_workspace_file_poisoning_expansion,unauthorized_transfer-05,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932036,E1,manual_workspace_file_poisoning_expansion,unauthorized_transfer-06,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932037,E1,manual_workspace_file_poisoning_expansion,unauthorized_transfer-07,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932038,E1,manual_workspace_file_poisoning_expansion,unauthorized_transfer-08,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932039,E1,manual_workspace_file_poisoning_expansion,unauthorized_transfer-09,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932040,E1,manual_workspace_file_poisoning_expansion,audit_tamper-00,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932041,E1,manual_workspace_file_poisoning_expansion,audit_tamper-01,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932042,E1,manual_workspace_file_poisoning_expansion,audit_tamper-02,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932043,E1,manual_workspace_file_poisoning_expansion,audit_tamper-03,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932044,E1,manual_workspace_file_poisoning_expansion,audit_tamper-04,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932045,E1,manual_workspace_file_poisoning_expansion,audit_tamper-05,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932046,E1,manual_workspace_file_poisoning_expansion,audit_tamper-06,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932047,E1,manual_workspace_file_poisoning_expansion,audit_tamper-07,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932048,E1,manual_workspace_file_poisoning_expansion,audit_tamper-08,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932049,E1,manual_workspace_file_poisoning_expansion,audit_tamper-09,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932050,E1,manual_workspace_file_poisoning_expansion,policy_tamper-00,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932051,E1,manual_workspace_file_poisoning_expansion,policy_tamper-01,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932052,E1,manual_workspace_file_poisoning_expansion,policy_tamper-02,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932053,E1,manual_workspace_file_poisoning_expansion,policy_tamper-03,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932054,E1,manual_workspace_file_poisoning_expansion,policy_tamper-04,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932055,E1,manual_workspace_file_poisoning_expansion,policy_tamper-05,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932056,E1,manual_workspace_file_poisoning_expansion,policy_tamper-06,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932057,E1,manual_workspace_file_poisoning_expansion,policy_tamper-07,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932058,E1,manual_workspace_file_poisoning_expansion,policy_tamper-08,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932059,E1,manual_workspace_file_poisoning_expansion,policy_tamper-09,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932060,E1,manual_workspace_file_poisoning_expansion,fabricated_report-00,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932061,E1,manual_workspace_file_poisoning_expansion,fabricated_report-01,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932062,E1,manual_workspace_file_poisoning_expansion,fabricated_report-02,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932063,E1,manual_workspace_file_poisoning_expansion,fabricated_report-03,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932064,E1,manual_workspace_file_poisoning_expansion,fabricated_report-04,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932065,E1,manual_workspace_file_poisoning_expansion,fabricated_report-05,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932066,E1,manual_workspace_file_poisoning_expansion,fabricated_report-06,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932067,E1,manual_workspace_file_poisoning_expansion,fabricated_report-07,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932068,E1,manual_workspace_file_poisoning_expansion,fabricated_report-08,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932069,E1,manual_workspace_file_poisoning_expansion,fabricated_report-09,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932070,E1,manual_workspace_file_poisoning_expansion,persistent_backdoor-00,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932071,E1,manual_workspace_file_poisoning_expansion,persistent_backdoor-01,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932072,E1,manual_workspace_file_poisoning_expansion,persistent_backdoor-02,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932073,E1,manual_workspace_file_poisoning_expansion,persistent_backdoor-03,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932074,E1,manual_workspace_file_poisoning_expansion,persistent_backdoor-04,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932075,E1,manual_workspace_file_poisoning_expansion,persistent_backdoor-05,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932076,E1,manual_workspace_file_poisoning_expansion,persistent_backdoor-06,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932077,E1,manual_workspace_file_poisoning_expansion,persistent_backdoor-07,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932078,E1,manual_workspace_file_poisoning_expansion,persistent_backdoor-08,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932079,E1,manual_workspace_file_poisoning_expansion,persistent_backdoor-09,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932080,E1,manual_workspace_file_poisoning_expansion,phishing_message-00,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932081,E1,manual_workspace_file_poisoning_expansion,phishing_message-01,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932082,E1,manual_workspace_file_poisoning_expansion,phishing_message-02,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932083,E1,manual_workspace_file_poisoning_expansion,phishing_message-03,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932084,E1,manual_workspace_file_poisoning_expansion,phishing_message-04,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932085,E1,manual_workspace_file_poisoning_expansion,phishing_message-05,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932086,E1,manual_workspace_file_poisoning_expansion,phishing_message-06,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932087,E1,manual_workspace_file_poisoning_expansion,phishing_message-07,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932088,E1,manual_workspace_file_poisoning_expansion,phishing_message-08,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932089,E1,manual_workspace_file_poisoning_expansion,phishing_message-09,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932090,E1,manual_workspace_file_poisoning_expansion,workflow_blocking-00,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932091,E1,manual_workspace_file_poisoning_expansion,workflow_blocking-01,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932092,E1,manual_workspace_file_poisoning_expansion,workflow_blocking-02,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932093,E1,manual_workspace_file_poisoning_expansion,workflow_blocking-03,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932094,E1,manual_workspace_file_poisoning_expansion,workflow_blocking-04,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932095,E1,manual_workspace_file_poisoning_expansion,workflow_blocking-05,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932096,E1,manual_workspace_file_poisoning_expansion,workflow_blocking-06,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932097,E1,manual_workspace_file_poisoning_expansion,workflow_blocking-07,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932098,E1,manual_workspace_file_poisoning_expansion,workflow_blocking-08,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932099,E1,manual_workspace_file_poisoning_expansion,workflow_blocking-09,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
933000,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933001,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933002,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933003,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933004,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933005,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933006,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933007,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933008,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933009,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933010,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933011,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933012,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933013,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933014,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933015,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933016,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933017,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933018,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933019,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933020,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933021,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933022,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933023,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933024,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933025,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933026,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933027,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933028,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933029,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933030,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933031,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933032,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933033,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933034,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933035,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933036,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933037,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933038,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933039,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933040,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933041,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933042,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933043,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933044,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933045,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933046,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933047,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933048,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933049,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933050,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933051,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933052,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933053,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933054,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933055,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933056,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933057,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933058,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933059,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933060,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933061,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933062,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933063,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933064,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933065,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933066,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933067,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933068,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933069,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933070,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933071,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933072,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933073,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933074,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933075,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933076,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933077,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933078,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933079,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933080,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933081,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933082,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933083,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933084,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933085,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933086,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933087,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933088,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933089,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933090,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933091,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933092,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933093,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933094,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933095,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933096,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933097,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933098,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
933099,E2,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
983001,E3,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
983002,E3,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
983003,E3,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
983004,E3,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
983005,E3,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
983006,E3,REDAgentBench,,,True,True,Project-authored case normalized to the released sandbox and verifier contract.
